Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds,,,,,,,,,,,,,,,,,,,,,
17,FacetoFaceIntersect,P2,TRUE,78.9892,84.86951,163.8587,48.20568,51.79432,,TimeInsideGazeBounds,FacetoFaceIntersect,78.9892,,TimeOutsideGazeBounds,FacetoFaceIntersect,84.86951,,TimeOutsideGazeBounds,FacetoFaceIntersect,163.8587,,TimeOutsideGazeBounds,FacetoFaceIntersect,48.20568,,TimeOutsideGazeBounds,FacetoFaceIntersect,51.79432
18,FacetoFaceIntersect,P2,TRUE,88.98798,75.22186,164.2098,54.19162,45.80838,,TimeInsideGazeBounds,FacetoFaceIntersect,88.98798,,TimeOutsideGazeBounds,FacetoFaceIntersect,75.22186,,TimeOutsideGazeBounds,FacetoFaceIntersect,164.2098,,TimeOutsideGazeBounds,FacetoFaceIntersect,54.19162,,TimeOutsideGazeBounds,FacetoFaceIntersect,45.80838
19,FacetoFaceIntersect,P2,TRUE,33.52768,200.4275,233.9552,14.33081,85.66919,,TimeInsideGazeBounds,FacetoFaceIntersect,33.52768,,TimeOutsideGazeBounds,FacetoFaceIntersect,200.4275,,TimeOutsideGazeBounds,FacetoFaceIntersect,233.9552,,TimeOutsideGazeBounds,FacetoFaceIntersect,14.33081,,TimeOutsideGazeBounds,FacetoFaceIntersect,85.66919
20,FacetoFaceIntersect,P2,TRUE,75.09549,157.7355,232.831,32.25322,67.74679,,TimeInsideGazeBounds,FacetoFaceIntersect,75.09549,,TimeOutsideGazeBounds,FacetoFaceIntersect,157.7355,,TimeOutsideGazeBounds,FacetoFaceIntersect,232.831,,TimeOutsideGazeBounds,FacetoFaceIntersect,32.25322,,TimeOutsideGazeBounds,FacetoFaceIntersect,67.74679
21,FacetoFaceIntersect,P2,TRUE,79.86353,148.4061,228.2697,34.98648,65.01352,,TimeInsideGazeBounds,FacetoFaceIntersect,79.86353,,TimeOutsideGazeBounds,FacetoFaceIntersect,148.4061,,TimeOutsideGazeBounds,FacetoFaceIntersect,228.2697,,TimeOutsideGazeBounds,FacetoFaceIntersect,34.98648,,TimeOutsideGazeBounds,FacetoFaceIntersect,65.01352
22,FacetoFaceIntersect,P2,TRUE,102.8457,125.2269,228.0726,45.0934,54.9066,,TimeInsideGazeBounds,FacetoFaceIntersect,102.8457,,TimeOutsideGazeBounds,FacetoFaceIntersect,125.2269,,TimeOutsideGazeBounds,FacetoFaceIntersect,228.0726,,TimeOutsideGazeBounds,FacetoFaceIntersect,45.0934,,TimeOutsideGazeBounds,FacetoFaceIntersect,54.9066
23,FacetoFaceIntersect,P2,TRUE,83.90118,153.4728,237.374,35.34556,64.65443,,TimeInsideGazeBounds,FacetoFaceIntersect,83.90118,,TimeOutsideGazeBounds,FacetoFaceIntersect,153.4728,,TimeOutsideGazeBounds,FacetoFaceIntersect,237.374,,TimeOutsideGazeBounds,FacetoFaceIntersect,35.34556,,TimeOutsideGazeBounds,FacetoFaceIntersect,64.65443
24,FacetoFaceIntersect,P2,TRUE,133.5438,103.7891,237.3329,56.26855,43.73145,,TimeInsideGazeBounds,FacetoFaceIntersect,133.5438,,TimeOutsideGazeBounds,FacetoFaceIntersect,103.7891,,TimeOutsideGazeBounds,FacetoFaceIntersect,237.3329,,TimeOutsideGazeBounds,FacetoFaceIntersect,56.26855,,TimeOutsideGazeBounds,FacetoFaceIntersect,43.73145
3,FaceToFaceNoIntersect,P2,TRUE,23.23773,144.1059,167.3436,13.88624,86.11376,,TimeInsideGazeBounds,FaceToFaceNoIntersect,23.23773,,TimeInsideGazeBounds,FaceToFaceNoIntersect,144.1059,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,167.3436,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,13.88624,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,86.11376
4,FaceToFaceNoIntersect,P2,TRUE,53.09738,114.2465,167.3439,31.7295,68.2705,,TimeInsideGazeBounds,FaceToFaceNoIntersect,53.09738,,TimeInsideGazeBounds,FaceToFaceNoIntersect,114.2465,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,167.3439,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,31.7295,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,68.2705
5,FaceToFaceNoIntersect,P2,TRUE,35.29526,114.8083,150.1036,23.51394,76.48607,,TimeInsideGazeBounds,FaceToFaceNoIntersect,35.29526,,TimeInsideGazeBounds,FaceToFaceNoIntersect,114.8083,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,150.1036,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,23.51394,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,76.48607
6,FaceToFaceNoIntersect,P2,TRUE,41.181,108.6143,149.7953,27.49152,72.50848,,TimeInsideGazeBounds,FaceToFaceNoIntersect,41.181,,TimeInsideGazeBounds,FaceToFaceNoIntersect,108.6143,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,149.7953,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,27.49152,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,72.50848
7,FaceToFaceNoIntersect,P2,TRUE,41.30685,197.9597,239.2666,17.26395,82.73605,,TimeInsideGazeBounds,FaceToFaceNoIntersect,41.30685,,TimeInsideGazeBounds,FaceToFaceNoIntersect,197.9597,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,239.2666,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,17.26395,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,82.73605
8,FaceToFaceNoIntersect,P2,TRUE,105.1779,133.7452,238.9231,44.02165,55.97835,,TimeInsideGazeBounds,FaceToFaceNoIntersect,105.1779,,TimeInsideGazeBounds,FaceToFaceNoIntersect,133.7452,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,238.9231,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,44.02165,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,55.97835
9,FaceToFaceNoIntersect,P2,TRUE,25.91602,111.2361,137.1521,18.89583,81.10417,,TimeInsideGazeBounds,FaceToFaceNoIntersect,25.91602,,TimeInsideGazeBounds,FaceToFaceNoIntersect,111.2361,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,137.1521,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,18.89583,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,81.10417
